sent,type,original_sent
I have n't had to go through what many trans people have to go through .,"['a1_have_has_got', 'a2_have_to', 'a2_present_perfect']",I haven't had to go through what many trans people have to go through.
"In collaboration with universities , Spanish automaker Seat has got to work converting existing parking facilities into service intensive , transit oriented microcities .",['a1_have_has_got'],"In collaboration with universities, Spanish automaker Seat has got to work converting existing parking facilities into service intensive, transit oriented microcities ."
"Although we were n't able to shatter that highest , hardest glass ceiling this time , thanks to you , it 's got about 18 million cracks in it .","['a1_superlative_short', 'a1_have_has_got', 'a2_to_non_finite_forms']","Although we weren't able to shatter that highest, hardest glass ceiling this time, thanks to you, it's got about 18 million cracks in it."
I 've never had a problem saying I 've got nothing lined up .,"['a1_have_has_got', 'a2_present_perfect', 'a2_ing_non_finite_forms']",I've never had a problem saying I've got nothing lined up.
"I think that ayahuasca is a catalytic influence in changing global environmental consciousness , which is something that 's got to happen if we 're going to get out of the mess we 're in .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_have_has_got', 'a2_is_am_are_going_to', 'a2_to_non_finite_forms']","I think that ayahuasca is a catalytic influence in changing global environmental consciousness, which is something that's got to happen if we're going to get out of the mess we're in."
I think there 's a sense in the community of species we 've got to step up the game,"['a1_there_is_am_are', 'a1_present_simple_reg_act', 'a1_have_has_got', 'a2_to_non_finite_forms']",I think there's a sense in the community of species we've got to step up the game
"So you 've got this movie about US kids , with a song by a band from Glasgow in a manor house in England .",['a1_have_has_got'],"So you've got this movie about US kids, with a song by a band from Glasgow in a manor house in England."
"You have slayed me , you have made me I got to laugh halfway off my heels","['a1_have_has_got', 'a2_present_perfect', 'a2_to_non_finite_forms']","You have slayed me, you have made me I got to laugh halfway off my heels"
Somebody 's got to do something to knock the fear out of these negroes .,"['a1_have_has_got', 'a2_to_non_finite_forms']",Somebody's got to do something to knock the fear out of these negroes.
"We 've got the largest sports stadium on earth , and it 's sold out .","['a1_superlative_short', 'a1_have_has_got', 'a2_present_perfect']","We've got the largest sports stadium on earth, and it's sold out."
"The fact that we 've got a car that can race the way it can , to put on that kind of show , for 500 miles , is really good .","['a1_to_be_present_is_am_are', 'a1_can', 'a1_have_has_got', 'a2_to_non_finite_forms']","The fact that we've got a car that can race the way it can, to put on that kind of show, for 500 miles, is really good."
"We 've got to keep it going as a big thing , to the 101st and the 102nd .","['a1_have_has_got', 'a2_to_non_finite_forms']","We've got to keep it going as a big thing, to the 101st and the 102nd."
"You do n't go to an NFL game and not walk through the tailgates and everything - it 's got to be an experience , Miles said in February .","['a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a1_have_has_got', 'a2_present_perfect', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","You don't go to an NFL game and not walk through the tailgates and everything - it's got to be an experience, Miles said in February."
"We 've got a lot more time when we get our hands on people , and we need to be younger .","['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_much_many_a_lot', 'a2_to_non_finite_forms']","We've got a lot more time when we get our hands on people, and we need to be younger."
"If you have any chance to get out somehow , you 've got to seize it , he said .","['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","If you have any chance to get out somehow, you've got to seize it, he said."
"But you also still have the man who smells of weed who will always come into a record shop , stand around and then ask for something you have n't got , and then leave .","['a1_present_simple_3d_pers', 'a1_future_simple', 'a1_have_has_got', 'a2_relative_clause_who_which_that']","But you also still have the man who smells of weed who will always come into a record shop, stand around and then ask for something you haven't got, and then leave."
"I think about the day , I think about what I 've got to do .","['a1_present_simple_reg_act', 'a1_have_has_got']","I think about the day, I think about what I've got to do."
"Where we 're just happy because we 've done this and that , we 've gotten there , we 've bought this house and we 've got these kids and","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_present_perfect']","Where we're just happy because we've done this and that, we've gotten there, we've bought this house and we've got these kids and"
He does n't have a team that has done deep dives into these questions .,"['a1_present_simple_3d_pers', 'a1_have_has_got', 'a2_present_perfect']",He doesn't have a team that has done deep dives into these questions.
It 's my job to support Gary 's reporting by managing those callouts and working with people who 've got in touch .,"['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_present_perfect', 'a2_to_non_finite_forms']",It's my job to support Gary's reporting by managing those callouts and working with people who've got in touch.
"What is , mmm , I do n't know , he got teeth , do n't he ?","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_have_has_got', 'a1_special_questions']","What is, mmm, I don't know, he got teeth, don't he?"
I would n't have had the life I 've had without movies .,"['a1_have_has_got', 'a2_present_perfect']",I wouldn't have had the life I've had without movies.
"If there was ever an artist who uses leftfield pop music as the altar of inspiration , it 's got to be Leckey , who won the Turner Prize in 2008 .","['a1_present_simple_3d_pers', 'a1_have_has_got', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","If there was ever an artist who uses leftfield pop music as the altar of inspiration, it's got to be Leckey, who won the Turner Prize in 2008."
"Instead , after a deeply polarising election , he made a plea for unity : We have to see ourselves in each other because we 've all got families we love","['a1_present_simple_reg_act', 'a1_have_has_got']","Instead, after a deeply polarising election, he made a plea for unity: We have to see ourselves in each other because we've all got families we love"
"I 've got ideas that made their way into books while on holiday , while shopping , while observing my grandson .",['a1_have_has_got'],"I've got ideas that made their way into books while on holiday, while shopping, while observing my grandson."
I do n't think I 've got faster at writing over the years .,"['a1_present_simple_reg_act', 'a1_have_has_got']",I don't think I've got faster at writing over the years.
"Every Australian town has a guy sitting at a bar called Robbo , and he 's got a faded Akubra on and he 'll tell you a yarn .","['a1_present_simple_3d_pers', 'a1_future_simple', 'a1_have_has_got']","Every Australian town has a guy sitting at a bar called Robbo, and he's got a faded Akubra on and he'll tell you a yarn."
You do n't have to tell me that : it 's been my political maxim all my life .,"['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_have_to']",You don't have to tell me that: it's been my political maxim all my life.
"We 've got to take his word for it , he said of the suspect .","['a1_past_simple_irreg', 'a1_have_has_got', 'a2_present_perfect', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","We've got to take his word for it, he said of the suspect."
"At the very least , HBO have got themselves an explosive talent and a tastemaker .","['a1_superlative_exept', 'a1_have_has_got']","At the very least, HBO have got themselves an explosive talent and a tastemaker."
"Because for all of his divisive bluster , Trump has gotten one thing right time and again :",['a1_have_has_got'],"Because for all of his divisive bluster, Trump has gotten one thing right time and again:"
"We could have kept going on discussing it , but someone has got to stop , a person closely involved in the process said .","['a1_have_has_got', 'a2_could', 'a2_present_perfect', 'a2_say_reported_verb']","We could have kept going on discussing it, but someone has got to stop, a person closely involved in the process said."
"And me , I do n't like borrowing from nobody , because it 's almost like they 've got a chokehold on you .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_have_has_got']","And me, I don't like borrowing from nobody, because it's almost like they've got a chokehold on you."
"You see them , and they leave , and they 've got tears in their eyes , because they ca n't believe how lucky they feel that day .","['a1_can', 'a1_present_simple_reg_act', 'a1_have_has_got']","You see them, and they leave, and they've got tears in their eyes, because they can't believe how lucky they feel that day."
"What 's this got to do with me , says you , British Olympics observer ?","['a1_present_simple_3d_pers', 'a1_have_has_got', 'a1_special_questions', 'a2_present_perfect']","What's this got to do with me, says you, British Olympics observer?"
"We 've all got access to videos and transcripts of previous speeches , and with the help of sharp journalists with long memories and social media , it 's easy to prove plagiarism outside the classroom .","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_to_non_finite_forms']","We've all got access to videos and transcripts of previous speeches, and with the help of sharp journalists with long memories and social media, it's easy to prove plagiarism outside the classroom."
"They have got a strong side and probably are favourites , but they have n't won it for a while and they are playing in front of a home crowd .","['a1_to_be_present_is_am_are', 'a1_have_has_got']","They have got a strong side and probably are favourites, but they haven't won it for a while and they are playing in front of a home crowd."
"Sharp with his analysis , not afraid to tell it how it is and not the sort to trot out those throwaway lines , like : They 've got enough to stay up .","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_to_non_finite_forms']","Sharp with his analysis, not afraid to tell it how it is and not the sort to trot out those throwaway lines, like: They've got enough to stay up."
"Well , I 've got this friend , I said , and took a deep breath .","['a1_past_simple_irreg', 'a1_have_has_got', 'a2_say_reported_verb']","Well, I've got this friend, I said, and took a deep breath."
"I 've got to really try and manage my patience out there , because I have very little patience right now .","['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_to_non_finite_forms']","I've got to really try and manage my patience out there, because I have very little patience right now."
"For decades , that was how people got a foot in the door , whether at grocers , banks , or law firms .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a1_have_has_got']","For decades, that was how people got a foot in the door, whether at grocers, banks, or law firms."
So they 'd say ' you 've got to be my ' .,['a1_have_has_got'],So they'd say 'you've got to be my '.
"In Eau Claire , Michigan , she heard about a student seeing a Snapchat video of another student saying : Do n't come to school on Monday , I 've got a loaded gun .","['a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a1_have_has_got']","In Eau Claire, Michigan, she heard about a student seeing a Snapchat video of another student saying: Don't come to school on Monday, I've got a loaded gun."
I try to bring everything I 've got to it in that moment .,"['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_to_non_finite_forms']",I try to bring everything I've got to it in that moment.
It 's got to be some primitive scratching on a cave wall .,"['a1_have_has_got', 'a2_to_non_finite_forms']",It's got to be some primitive scratching on a cave wall.
"Maggie thinks she 's got everything under control when , of course , she has n't .","['a1_present_simple_3d_pers', 'a1_have_has_got', 'a2_present_perfect']","Maggie thinks she's got everything under control when, of course, she hasn't."
"And I say : ' Well yes , of course it 's just a day , but this is all we 've got !","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_say_reported_verb']","And I say: 'Well yes, of course it's just a day, but this is all we've got!"
But then Hillary does n't need another Bill - she 's already got one .,"['a1_present_simple_3d_pers', 'a1_have_has_got']",But then Hillary doesn't need another Bill - she's already got one.
"Well , they have n't paid , but we have a treaty . '","['a1_present_simple_reg_act', 'a1_have_has_got', 'a2_present_perfect']","Well, they haven't paid, but we have a treaty.'"
"He added that the attack was n't part of the recent string of shootings of police in the US , but that hate against police has got to stop .","['a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_have_has_got']","He added that the attack wasn't part of the recent string of shootings of police in the US, but that hate against police has got to stop ."
"The speech has got to stop because the consequences are real , the chief said .","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_present_perfect', 'a2_say_reported_verb']","The speech has got to stop because the consequences are real, the chief said."
"Then the people on top of him shouted ' he 's got a gun , he 's got a gun ' .","['a1_past_simple_reg', 'a1_have_has_got', 'a2_present_perfect']","Then the people on top of him shouted 'he's got a gun, he's got a gun'."
"I think we 've got a lot of belief as it is with the performances and results we 've had , Henderson says .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_have_has_got', 'a2_present_perfect', 'a2_say_reported_verb']","I think we've got a lot of belief as it is with the performances and results we've had, Henderson says."
"We 've got offers in for players , Phelan said , but getting them is touch and go .","['a1_to_be_present_is_am_are', 'a1_have_has_got', 'a2_say_reported_verb']","We've got offers in for players, Phelan said, but getting them is touch and go."
"He 's got six gigs in November , including in London and Paris , and his website lists shows booked all the way up to June 2017 .","['a1_present_simple_3d_pers', 'a1_have_has_got']","He's got six gigs in November, including in London and Paris, and his website lists shows booked all the way up to June 2017."
"Three days later , I got a nice , long , handwritten letter from my friend and partner and colleague Bill Clinton , saying ,",['a1_have_has_got'],"Three days later, I got a nice, long, handwritten letter from my friend and partner and colleague Bill Clinton, saying,"
"Do you need to find entrepreneurs , or venture capitalists , or what do you need to take what you 've got and get it to scale ?","['a1_present_simple_reg_act', 'a1_have_has_got', 'a1_special_questions', 'a2_to_non_finite_forms']","Do you need to find entrepreneurs, or venture capitalists, or what do you need to take what you've got and get it to scale?"
"And I 'm talking about if you 've got a baby now , or if you 've got a 10-year - old now .",['a1_have_has_got'],"And I'm talking about if you've got a baby now, or if you've got a 10-year-old now."
"Cameron Sterling , the son of Alton Sterling , whose death at the hands of police was caught on video , spoke about his father and protests .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_say_reported_verb', 'a2_passive_past_simple']","Cameron Sterling, the son of Alton Sterling, whose death at the hands of police was caught on video, spoke about his father and protests."
Baton Rouge police said in a statement that police were called to the convenience store because Sterling had allegedly threatened another patron with a gun .,"['a1_past_simple_irreg', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_say_reported_verb', 'a2_passive_past_simple']",Baton Rouge police said in a statement that police were called to the convenience store because Sterling had allegedly threatened another patron with a gun.
"The press conference on Wednesday is Cameron 's first since he broke into sobs at a nationally broadcast press conference with his mother , following his father 's death .","['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_past_simple_reg', 'a1_past_simple_irreg']","The press conference on Wednesday is Cameron's first since he broke into sobs at a nationally broadcast press conference with his mother, following his father's death."
I came to talk to everyone about one : the death of my father .,"['a1_past_simple_irreg', 'a2_narrative_tenses', 'a2_to_non_finite_forms']",I came to talk to everyone about one: the death of my father.
"And , two : about how I feel about people in general , said Cameron , whose distinctly young voice was calm and composed in front of the scrum of reporters at the Triple S convenience store .","['a1_to_be_past_was_were', 'a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_zero_article', 'a2_relative_clause_who_which_that', 'a2_say_reported_verb']","And, two: about how I feel about people in general, said Cameron, whose distinctly young voice was calm and composed in front of the scrum of reporters at the Triple S convenience store."
"Earlier on Wednesday , in an interview with CBS News , Cameron said he did n't believe all police were bad and that all police should n't be punished for other police 's crimes .","['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_say_reported_verb']","Earlier on Wednesday, in an interview with CBS News, Cameron said he didn't believe all police were bad and that all police shouldn't be punished for other police's crimes ."
"The police in Dallas , Texas , they did n't deserve that , said Cameron .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_say_reported_verb']","The police in Dallas, Texas, they didn't deserve that, said Cameron."
Christie 's said they were sold as separate lots on Wednesday but were all bought by an anonymous private American collector .,"['a1_past_simple_irreg', 'a2_say_reported_verb', 'a2_passive_past_simple']",Christie's said they were sold as separate lots on Wednesday but were all bought by an anonymous private American collector.
Christie 's book expert Margaret Ford said it was exhilarating to bring the newly recorded book to the public 's attention on the 400th anniversary of the playwright 's death .,"['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']",Christie's book expert Margaret Ford said it was exhilarating to bring the newly recorded book to the public's attention on the 400th anniversary of the playwright's death.
Ford said : We are pleased with the results achieved in the sale especially since all four books were acquired by the same private American collector .,"['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_say_reported_verb', 'a2_passive_past_simple']",Ford said: We are pleased with the results achieved in the sale especially since all four books were acquired by the same private American collector.
"My grandmother came from overseas to live with my mother and me when I was in high school , as the ravages of Alzheimer 's left her unable to care for herself .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","My grandmother came from overseas to live with my mother and me when I was in high school, as the ravages of Alzheimer's left her unable to care for herself."
"Although the amount of debt I would have after graduating was apparent up front , I did not fully understand it .","['a1_to_be_past_was_were', 'a1_past_simple_irreg']","Although the amount of debt I would have after graduating was apparent up front, I did not fully understand it."
"I set out to earn more than one degree , which cost me more money .","['a1_past_simple_irreg', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']","I set out to earn more than one degree, which cost me more money."
"First , despite all my accomplishments , I carried a deeply held internal anxiety about being good enough to meet my ambitions .","['a1_past_simple_irreg', 'a2_to_non_finite_forms']","First, despite all my accomplishments, I carried a deeply held internal anxiety about being good enough to meet my ambitions."
"The evidence just seemed overwhelming , with the DNA evidence having excluded these men from any contact whatsoever with these people , Kussmaul 's lawyer , David Sheppard , told the Waco .","['a1_possesive_s_sing', 'a1_past_simple_reg', 'a1_past_simple_irreg']","The evidence just seemed overwhelming, with the DNA evidence having excluded these men from any contact whatsoever with these people, Kussmaul's lawyer, David Sheppard, told the Waco ."
"At the hearing last month , Long , Shelton and Pitts all testified they gave false testimony against Kussmaul at his trial because a prosecutor promised them probation .","['a1_past_simple_reg', 'a1_past_simple_irreg']","At the hearing last month, Long, Shelton and Pitts all testified they gave false testimony against Kussmaul at his trial because a prosecutor promised them probation."
The three said at Kussmaul 's trial in 1994 that he and they raped Murphy before Kussmaul shot the two victims .,"['a1_possesive_s_sing', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_say_reported_verb']",The three said at Kussmaul's trial in 1994 that he and they raped Murphy before Kussmaul shot the two victims.
He was an air force sergeant who went to night school as an adult to become a high school and community college teacher of US and Afro American history .,"['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that', 'a2_to_non_finite_forms']",He was an air force sergeant who went to night school as an adult to become a high school and community college teacher of US and Afro American history.
"His sudden death broke my heart , but he left me with a road map :","['a1_past_simple_reg', 'a1_past_simple_irreg']","His sudden death broke my heart, but he left me with a road map:"
"Here 's a passage which gave me life after Trump was elected : Conservatism , by its nature , is racism .","['a1_to_be_present_is_am_are', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that']","Here's a passage which gave me life after Trump was elected: Conservatism, by its nature, is racism."
"Wisam Sankari , a hospital cleaner , went missing on 25 July after going to meet another gay man in Istanbul .","['a1_past_simple_irreg', 'a2_ing_non_finite_forms']","Wisam Sankari, a hospital cleaner, went missing on 25 July after going to meet another gay man in Istanbul."
"A week on , three of his flatmates say they fear being murdered in the same fashion after receiving warnings that the man Sankari met on 25 July wants to kill them too .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']","A week on, three of his flatmates say they fear being murdered in the same fashion after receiving warnings that the man Sankari met on 25 July wants to kill them too."
A Greek appeals board said in June that it considers Turkey safe enough for gay Syrians to be deported to as part of the controversial migration deal .,"['a1_present_simple_3d_pers', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']",A Greek appeals board said in June that it considers Turkey safe enough for gay Syrians to be deported to as part of the controversial migration deal.
"Five months ago , he was attacked and his head was cut , he said .","['a1_past_simple_irreg', 'a2_say_reported_verb', 'a2_passive_past_simple']","Five months ago, he was attacked and his head was cut, he said."
"He went to the police , but they did n't help him .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_zero_non_finite_forms']","He went to the police, but they didn't help him."
"More generally , Sankari 's friends said many of his other experiences showed how vulnerable life is for refugees of any sexuality in Turkey .","['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_past_simple_irreg', 'a2_say_reported_verb']","More generally, Sankari's friends said many of his other experiences showed how vulnerable life is for refugees of any sexuality in Turkey."
"His latest employers paid him about half the Turkish minimum wage ( 600 Turkish lira , or £ 150 ) for a hospital cleaning job that saw him work seven days a week .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that']","His latest employers paid him about half the Turkish minimum wage (600 Turkish lira, or £150) for a hospital cleaning job that saw him work seven days a week."
"But he was scared to do so because of threats he had faced while briefly living there , said Hossam , who had met Sankari at his weekly session .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","But he was scared to do so because of threats he had faced while briefly living there, said Hossam, who had met Sankari at his weekly session."
And those people could n't reach places where they felt safe and secure .,"['a1_past_simple_irreg', 'a2_could', 'a2_zero_non_finite_forms']",And those people couldn't reach places where they felt safe and secure.
A senior government official said : We are unable to independently verify the claim that the victim 's plea for assistance was ignored by law enforcement .,"['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']",A senior government official said: We are unable to independently verify the claim that the victim's plea for assistance was ignored by law enforcement.
"In a statement , the UN refugee agency said it was working to resettle","['a1_past_simple_irreg', 'a2_past_continuous', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","In a statement, the UN refugee agency said it was working to resettle"
"I have angina and climbing 276 steps is cheaper than going to the gym , said Bezar .","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_say_reported_verb']","I have angina and climbing 276 steps is cheaper than going to the gym, said Bezar."
"There is no evidence that Hal Martin intended to betray his country , said Martin 's attorneys Jim Wyda and Deborah Boardman in a statement , according to the Washington Post .","['a1_possesive_s_sing', 'a1_there_is_am_are', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","There is no evidence that Hal Martin intended to betray his country, said Martin's attorneys Jim Wyda and Deborah Boardman in a statement, according to the Washington Post."
Did the FBI secretly arrest the person behind the reports NSA sat on huge flaws in US products ?,"['a1_past_simple_reg', 'a1_past_simple_irreg']",Did the FBI secretly arrest the person behind the reports NSA sat on huge flaws in US products?
The White House said Barack Obama took the national security implications seriously .,"['a1_past_simple_irreg', 'a2_say_reported_verb']",The White House said Barack Obama took the national security implications seriously.
"The assistant attorney general for national security , John Carlin , US attorney Rod Rosenstein for the District of Maryland and special agent in charge Gordon Johnson of the FBI 's Baltimore field office made the announcement .",['a1_past_simple_irreg'],"The assistant attorney general for national security, John Carlin, US attorney Rod Rosenstein for the District of Maryland and special agent in charge Gordon Johnson of the FBI's Baltimore field office made the announcement."
"But when he looked out the window , he saw numerous law enforcement vehicles , including two large vans that parked in front of the house .","['a1_past_simple_reg', 'a1_past_simple_irreg']","But when he looked out the window, he saw numerous law enforcement vehicles, including two large vans that parked in front of the house."
"Glen Bond , who has lived in a house across the street from Bond for 50 years , said there were two big vans in front of the house blocking it from view and 25 or 30 cars .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_present_perfect', 'a2_relative_clause_who_which_that', 'a2_say_reported_verb']","Glen Bond, who has lived in a house across the street from Bond for 50 years, said there were two big vans in front of the house blocking it from view and 25 or 30 cars ."
A woman who came to the door of Martin 's home said : This is a matter that 's under investigation .,"['a1_possesive_s_sing', 'a1_to_be_present_is_am_are', 'a1_past_simple_irreg', 'a2_say_reported_verb']",A woman who came to the door of Martin's home said: This is a matter that's under investigation.
"During execution of the warrants , investigators found documents and digital information stored on various devices and removable digital media .","['a1_past_simple_reg', 'a1_past_simple_irreg']","During execution of the warrants, investigators found documents and digital information stored on various devices and removable digital media."
"In addition , investigators located property of the US government with an aggregate value in excess of $ 1 , 000 , which Martin allegedly stole , a justice department press statement said .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that', 'a2_say_reported_verb']","In addition, investigators located property of the US government with an aggregate value in excess of $1, 000, which Martin allegedly stole, a justice department press statement said."
Supporters of Snowden quickly made a distinction between him and the motives of the arrested man .,['a1_past_simple_irreg'],Supporters of Snowden quickly made a distinction between him and the motives of the arrested man.
"Flying from Hawaii , where he was based , to Hong Kong , he gave tens of thousands of top secret documents to journalists to illustrate the scale of surveillance by the NSA and Britain 's GCHQ .","['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","Flying from Hawaii, where he was based, to Hong Kong, he gave tens of thousands of top secret documents to journalists to illustrate the scale of surveillance by the NSA and Britain's GCHQ."
"In a tweet , she wrote : Mediapls stop comparing theft of NSA source code to @Snowden blowing whistle on secret domestic surveillance .","['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_imperatives', 'a2_say_reported_verb']","In a tweet, she wrote: Mediapls stop comparing theft of NSA source code to @Snowden blowing whistle on secret domestic surveillance."
"In a statement released by his campaign , Trump said the Donald J Trump Foundation would be dissolved to avoid even the appearance of any conflict with my role as President .","['a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']","In a statement released by his campaign, Trump said the Donald J Trump Foundation would be dissolved to avoid even the appearance of any conflict with my role as President ."
Trump said he would continue to pursue his strong interest in philanthropy in other ways .,"['a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a2_say_reported_verb']",Trump said he would continue to pursue his strong interest in philanthropy in other ways.
"Trump reportedly used $ 258 , 000 of the foundation 's money to pay for personal legal settlements .","['a1_possesive_s_sing', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","Trump reportedly used $258, 000 of the foundation's money to pay for personal legal settlements."
He also spent charitable funds on multiple portraits of himself and on a football helmet autographed by Heisman Trophy winner Tim Tebow .,['a1_past_simple_irreg'],He also spent charitable funds on multiple portraits of himself and on a football helmet autographed by Heisman Trophy winner Tim Tebow.
"The foundation also made a donation to a political group supporting Florida attorney general Pam Bondi , a longtime Trump backer in violation of tax law .",['a1_past_simple_irreg'],"The foundation also made a donation to a political group supporting Florida attorney general Pam Bondi, a longtime Trump backer in violation of tax law."
"At one point , just past 1 , 000 m , there were these huge waves and a full one came right into my boat and the water was up to my seat .","['a1_to_be_past_was_were', 'a1_there_was_were', 'a1_past_simple_irreg']","At one point, just past 1, 000m, there were these huge waves and a full one came right into my boat and the water was up to my seat."
"I was 100 % sure I was going to sink , and then another wave came up","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_was_were_going_to']","I was 100% sure I was going to sink, and then another wave came up"
"Meanwhile , the Irish sculler Sanita Puspure , who finished one place ahead of Negm in second , described the conditions as horrific .","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that']","Meanwhile, the Irish sculler Sanita Puspure, who finished one place ahead of Negm in second, described the conditions as horrific ."
"She said : It was like sailing , surfing , everything all in one and a bit of rowing in the end .","['a1_to_be_past_was_were', 'a1_past_simple_irreg', 'a2_say_reported_verb']","She said: It was like sailing, surfing, everything all in one and a bit of rowing in the end."
"But he went quiet after the visit , and rumours began to swirl that he was dead from Anderson 's bready hand .","['a1_possesive_s_sing', 'a1_to_be_past_was_were', 'a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']","But he went quiet after the visit, and rumours began to swirl that he was dead from Anderson's bready hand."
"The son of a Louisiana man whose father was shot and killed at range by Baton Rouge police asked protesters for peace and no violence , none whatsoever .","['a1_past_simple_reg', 'a2_relative_clause_others', 'a2_passive_past_simple']","The son of a Louisiana man whose father was shot and killed at range by Baton Rouge police asked protesters for peace and no violence, none whatsoever ."
"The £ 2 , 479 , 000 sale in London included the bard 's first folio , which is widely considered to be the most important literary publication in the English language .","['a1_possesive_s_sing', 'a1_past_simple_reg', 'a2_to_non_finite_forms', 'a2_passive_present_simple']","The £2, 479, 000 sale in London included the bard's first folio, which is widely considered to be the most important literary publication in the English language."
"The book , published in 1623 , contains 36 plays , 18 of which had not appeared in print before .","['a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_narrative_tenses', 'a2_past_perfect_basic', 'a2_relative_clause_who_which_that']","The book, published in 1623, contains 36 plays, 18 of which had not appeared in print before."
"It was sold along with later editions published in 1632 , 1664 and 1685 .","['a1_past_simple_reg', 'a2_passive_past_simple']","It was sold along with later editions published in 1632, 1664 and 1685."
"Even four centuries after his death , his plays touch and transform lives and continue to be read and performed from Albania to Zambia .","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a1_past_simple_reg', 'a2_to_non_finite_forms']","Even four centuries after his death, his plays touch and transform lives and continue to be read and performed from Albania to Zambia."
"That large figure seemed so abstract at the time , and I refused to let it dampen my excitement about going to college .","['a1_past_simple_reg', 'a2_to_non_finite_forms']","That large figure seemed so abstract at the time, and I refused to let it dampen my excitement about going to college."
"I delivered pizzas , worked at the library , tutored and worked an array of other jobs .",['a1_past_simple_reg'],"I delivered pizzas, worked at the library, tutored and worked an array of other jobs."
