"sentence","predicted_type","actual_type","data_trash","sentence_id","date"
"You'll see scenes like this all over the island.","future_simple","future_simple",0,"d19f9a1a23bd186425a8e82e43d9126149b00e44ef102502a3085632","2020-10-20 23:44:10.30997+04"
"It leads to all sorts of environmental problems and problems that affect people throughout the nation.","present_continuous","present_simple",0,"975ef3911d74c287d3dbbe6aac1416df801840f758d663ae47e14c9a","2020-10-20 23:44:17.422949+04"
"A couple years ago there was severe flooding that led to thousands of deaths that's directly attributable to the fact that there are no trees on the hills to stabilize the soil.","present_continuous","other",0,"f9d1da0f0b59eb0ba89dfe8cf945ab3ac98f90d4468e129bd673ba7a","2020-10-20 23:44:23.909269+04"
"So the rains come they go down the rivers and the flooding happens.","present_simple","present_simple",0,"a9d81f37319fc6dbd09b6680b50d542e73c3b359f143c43623a7c90d","2020-10-20 23:44:32.404321+04"
"Now one of the reasons why there are so few trees is this: people need to cook, and they harvest wood and they make charcoal in order to do it.","present_continuous","other",0,"a8b0aa74bd5ca7961ce8c103ac2dc42ddae11c498f6f4faf63ce2224","2020-10-20 23:44:36.221513+04"
"It's not that people are ignorant to the environmental damage.","to_be_present","to_be_present",0,"3bf1773006f67cde7f7926368d27143a442290dfa97fb4b917caaf15","2020-10-20 23:44:56.486465+04"
"They know perfectly well, but they have no other choice.","present_perfect","present_simple",0,"8acafc9016410b67e5d12e0aea69bd58bdbd01f172fe945c18d85d9c","2020-10-20 23:49:05.824698+04"
"Fossil fuels are not available, and solar energy doesn't cook the way that they like their food prepared.","past_simple","other",0,"1690e7b0a0cf698eb8d3da5ad5e01277a3fb405b46d285e1f16fcc90","2020-10-20 23:49:09.28823+04"
"And so this is what they do.","present_continuous","other",0,"6aa04eea14f254a88a54bc272f7d153afedb850e6c35db439670df6f","2020-10-20 23:49:53.19434+04"
"You'll find families like this who go out into the forest to find a tree, cut it down and make charcoal out of it.","future_simple","other",0,"21ba36600b245db66359e2252fe9d2f9cef5a63cd02d9093f9594fc6","2020-10-20 23:52:04.497082+04"
"So not surprisingly, there's a lot of effort that's been done to look at alternative cooking fuels.","present_perfect","other",0,"71b3ad66bcde310587234d1c2465b2c711f026e34041ff21c1e70bb6","2020-10-20 23:52:06.719267+04"
"About four years ago, I took a team of students down to Haiti","past_simple","past_simple",0,"ec6f81c4f66b92907dccc67e7e43a386226f4d4f5182bdb2b1f5bb44","2020-10-20 23:52:12.101474+04"
"and we worked with Peace Corps","past_simple","other",0,"790c287300b7d29e0ab4da0143e4a533b38555770bb4ca1cc8aa48ec","2020-10-20 23:52:14.409988+04"
"This is one such volunteer and this is a device that he had built in the village where he worked.","past_simple","other",0,"7af73440b0a0945b68e0fad9b890e8cbb7b07478cadf3964df5acad1","2020-10-20 23:52:16.098269+04"
"And the idea was that you could take waste paper; you could compress it and make briquettes that could be used for fuel.","could","other",0,"79030b41834290453602f10c25f9c039014a233d4bf37b7fd3eb4e4f","2020-10-20 23:52:18.667775+04"
"But this device was very slow.","to_be_past","to_be_past",0,"0acebe399062504266210aeb5ae0b87293155aa7fe820032daa2e05c","2020-10-20 23:52:22.70521+04"
"So our engineering students went to work on it and with some very simple changes, they were able to triple the throughput of this device.","used_to","other",0,"b72e314e524ae3ad60493784cd7f119f2a50d0caa55cd07a1573b028","2020-10-20 23:52:24.7423+04"
"We went down to Haiti.","past_simple","past_simple",0,"e85a13c29c3d8b1ee9403adff07e947be9b886cd1acec82f496a968d","2020-10-21 00:00:02.90301+04"
"So you could imagine they were very excited about it.","could","could",0,"e2738b1887f9afcb630aed6b59abee22e2fd6f1793900b56d2b24575","2020-10-20 23:52:32.54708+04"
"And they took the briquettes back to MIT so that they could test them.","past_simple","other",0,"0c63753ae07f8b1783bc437b5f78f90dcf9bf05349d63740785c4a96","2020-10-20 23:52:47.225689+04"
"And one of the things that they found was they didn't burn.","past_simple","other",0,"4896fb6e27e4d84a2c9ca52a591af0110a3b9af1122cebfe0c23372b","2020-10-20 23:54:15.399293+04"
"So it was a little discouraging to the students.","to_be_past","to_be_past",0,"f18985f1e98f99374174b5bb4817b6158f90fccb032178961987ff26","2020-10-20 23:56:17.047441+04"
"And in fact, if you look closely, right here you can see it says, ""US Peace Corps.","present_simple","other",0,"3d65249e83c8e3bfedc75a8ef3b10f564d20423468b75a0d2acfdadf","2020-10-20 23:56:22.564216+04"
""" As it turns out, there actually wasn't any waste paper in this village.","present_simple","other",0,"d5bfae4c85d921dd0b86b261dc7f5b9c0242a765b9c53376fd53cca5","2020-10-20 23:56:37.302761+04"
"And while it was a good use of government paperwork for this volunteer to bring it back with him to his village, it was 800 kilometers away.","past_continuous","other",0,"1e658685a20d656861f23b95edff8f7b4e7c9e9649c14ea20b622498","2020-10-20 23:56:39.42284+04"
"And so we thought perhaps there might be a better way to come up with an alternative cooking fuel.","future_simple","other",0,"c04f51cdc739f0897156728970b2b60a021081c4748efcc975b9400c","2020-10-20 23:57:06.614977+04"
"What we wanted to do is we wanted to make a fuel that used something that was readily available on the local level.","used_to","other",0,"09388555d156ad610e7004e2e218954d09e62282c7587a1aad484afb","2020-10-20 23:57:12.816324+04"
"You see these all over Haiti as well.","present_simple","present_simple",0,"8b2d8a3e94425b5409b51be3777b7b0df2572dff60746ed8db3650b4","2020-10-20 23:57:16.543741+04"
"And the waste product from them after you extract the juice from the sugarcane is called ""bagasse.","present_continuous","other",0,"724e573aeb7cab2dbe50afeec0ae47e976398f31d5d6a4120604bca3","2020-10-20 23:57:20.300049+04"
""" It has no other use.","to_be_present","other",0,"3e41fb4ad38caf1dcdb3c05a7b9c707a5aa4f75c635821d624d44b48","2020-10-20 23:57:22.475924+04"
"It has no nutritional value, so they don't feed it to the animals.","present_perfect","other",0,"cf88f752bb89dc87ee204813262fc5c2397dfb5f61abd619fe6541b3","2020-10-20 23:57:33.265171+04"
"It just sits in a pile near the sugar mill until eventually they burn it.","present_simple","present_simple",0,"1f9bd793438f630ea4ee70c4f17dd66fd6e46b2c7141b92b9471c037","2020-10-20 23:57:39.834027+04"
"What we wanted to do was we wanted to find a way to harness this waste resource and turn it into a fuel that would be something that people could easily cook with, something like charcoal.","used_to","other",0,"eebd3d3dd14285528d0892f7abe3579209a06cac9dc40ad1d84dd41b","2020-10-20 23:57:42.029364+04"
"So over the next couple of years, students and I worked to develop a process.","past_simple","past_simple",0,"419dc5e5e42d6a67bc64d2db07ff4010a8ed6944d984445da846d6c0","2020-10-20 23:57:51.859856+04"
"So you start with the bagasse, and then you take a very simple kiln that you can make out of a waste fifty five-gallon oil drum.","present_simple","other",0,"dc2202040232f8d4800b6746b887154c17530945e9535b72e344db82","2020-10-20 23:58:00.098976+04"
"After some time, after setting it on fire, you seal it to restrict the oxygen that goes into the kiln, and then you end up with this carbonized material here.","present_simple","other",0,"8795ad0e1c19403ecde0b3cb6c223f8520b138b0c767dce38ee67a9a","2020-10-20 23:58:18.133738+04"
"However, you can't burn this.","can","can",0,"a8e010aeb35fa590226dc9daa224c658913b5639a2688941a9d4d24f","2020-10-20 23:58:24.227784+04"
"It's too fine and it burns too quickly to be useful for cooking.","present_simple","other",0,"8d19b0e8e6870dd97b030a2b556fb4fd7516d6fb708e95a38735d1d9","2020-10-20 23:58:33.695748+04"
"So we had to try to find a way to form it into useful briquettes.","used_to","other",0,"6577764964a8444708a5423d64c80aa32b055b2c17a6f317e1241d89","2020-10-20 23:58:38.562614+04"
"And conveniently, one of my students was from Ghana, and he remembered a dish his mom used to make for him called ""kokonte,"" which is a very sticky porridge made out of the cassava root.","present_continuous","other",0,"d877bfa99663e0537d9a5ebfd995d6631dd06face0749c6ed6faf4c8","2020-10-20 23:58:44.31247+04"
"And so what we did was we looked, and we found that cassava is indeed grown in Haiti, under the name of ""manioc.""","present_perfect","other",0,"56cd1e04c00e2f7a5912a7c29060cf15c21015ac69186aa558b76578","2020-10-20 23:58:51.545225+04"
"In fact, it's grown all over the world yucca, tapioca, manioc, cassava, it's all the same thing a very starchy root vegetable.","present_simple","other",0,"6ac5667a7f8077e6709177fdcb916d7dae8d8685ebcbeb646993e89a","2020-10-20 23:58:58.050842+04"
"And you can make a very thick, sticky porridge out of it, which you can use to bind together the charcoal briquettes.","can","can",0,"87cb5f9371a9db6dc2a0012dfb4222d6a4f0fe38a815137bfe7cb175","2020-10-20 23:59:23.861627+04"
"These are the graduates of the first Ecole de Charbon, or Charcoal Institute.","present_continuous","other",0,"49da622fcde175f64d642ea24223a1c095a244499cc53fc326f93830","2020-10-21 00:00:06.958642+04"
"So I'm actually an instructor at MIT as well as CIT.","present_continuous","to_be_present",0,"2fed250e543187f672160a5b7a8943d9270abea98fb2c561a74a0aa7","2020-10-21 00:00:14.452548+04"
"And these are the briquettes that we made.","present_continuous","to_be_present",0,"715822e3541b8d99937ba85f7358cde41f1df969a4c4d38404c19958","2020-10-21 00:00:18.989654+04"
"Now I'm going to take you to a different continent.","present_continuous","other",0,"8f69171045b29958a51cbc2b9784dcb28715ed2f1ac0ecbce2fa8fcf","2020-10-21 00:00:25.946708+04"
"This is India and this is the most commonly used cooking fuel in India.","present_continuous","to_be_present",0,"a10101994f90c2f3805b6cdce013eafa60a9f03e7b8c200afeefe40e","2020-10-21 00:00:36.052355+04"
"And more than in Haiti, this produces really smoky fires, and this is where you see the health impacts of cooking with cow dung and biomass as a fuel.","present_continuous","other",0,"12d02d995f76ef68a132939163e8df39c6400e6dd9afa42ed065b7ac","2020-10-21 00:00:39.293461+04"
"Kids and women are especially affected by it, because they're the ones who are around the cooking fires.","present_continuous","other",0,"b562daef83defd51039536765e15a8e2ba94f354b29ca149f97dd2a7","2020-10-21 00:00:42.756581+04"
"So we wanted to see if we could introduce this charcoal-making technology there.","used_to","other",0,"5328ad66d4734349d567b71a691e85982aefe5af6e0c99439ead3071","2020-10-21 00:00:51.9497+04"
"Well, unfortunately, they didn't have sugarcane and they didn't have cassava, but that didn't stop us.","past_simple","past_simple",0,"d9a0d1c9e466d8c471a1c3c0324ae096645754696dd09db2328da982","2020-10-21 00:00:59.733397+04"
"What we did was we found what were the locally available sources of biomass.","past_simple","past_simple",0,"bea3ffa02e6d19f2908599719aa9696a527736be46b42b9a86bb29be","2020-10-21 00:01:05.278144+04"
"And there was wheat straw","past_continuous","other",0,"5f1eb982dd8527d139f1fda7c21207bd6da54e734e6d3cd03c2ee159","2020-10-21 00:01:07.535927+04"
"and there was rice straw in this area.","past_continuous","other",0,"ca1d940e36445d6b0318c4dd92a2ca16b1f19597d7a356c2b180fd58","2020-10-21 00:01:09.107725+04"
"And what we could use as a binder was actually small amounts of cow manure, which they used ordinarily for their fuel.","used_to","other",0,"1b1a614959bb234083a308ebb8707adfd1b2a9ecaf73fac9030b3516","2020-10-21 00:01:11.253408+04"
"And we did side-by-side tests, and here you can see the charcoal briquettes and here the cow dung.","present_continuous","other",0,"d462ae923ccc2088d103365872912e7d5fe8f62d7c51be6a5c8c4777","2020-10-21 00:01:14.901057+04"
"And you can see that it's a lot cleaner burning of a cooking fuel.","present_simple","other",0,"6a9ae12dcce317179ade1fb6e151afda6440a62e8f09f07d0eaeb8c3","2020-10-21 00:01:21.254478+04"
"And in fact, it heats the water a lot more quickly.","present_simple","present_simple",0,"098cb7a0c9946dbbb8ebd1f97ef2849f5c175d4174d2cbb4dc090882","2020-10-21 08:40:19.189576+04"
"And so we were very happy, thus far.","present_perfect","to_be_past",0,"8f3435aa728325eae1db675cc5671f259da5f54304407a83280781de","2020-10-21 08:40:22.828931+04"
"But one of the things that we found was when we did side-by-side comparisons with wood charcoal, it didn't burn as long.","past_simple","other",0,"13a0c21d359fca53a67a1c8c5c97e19081756ba2928d6bf60fdbd0dc","2020-10-21 08:40:26.282701+04"
"And the briquettes crumbled a little bit","past_simple","trash",1,"b21c2fdd6263dfeffc6d5d7a1e415579abc431b5c1d187d478122238","2020-10-21 15:08:37.588989+04"
"I am ten years old.","to_be_present","to_be_present",0,"8402857066b9681397f02561eede66218fa5f2fafc7246df41a6d644","2020-10-21 16:07:57.769749+04"
"I live in Moscow with my family.","present_simple","present_simple",0,"322c45c915f5afb6610c70211e6c257c29fa8e5f0be803c651cae781","2020-10-21 16:08:01.059953+04"
"My mother is a doctor.","to_be_present","to_be_present",0,"722c06196d869fdce3ab37f1837b40e1a6bc2468d3f8e4a4e3e58da9","2020-10-21 16:08:02.854226+04"
"My father, whose name is Victor, is a vet.","present_continuous","other",0,"ee8ab8bee12aaea012a28071da1a52d5882215f0893626ded7579cad","2020-10-21 16:08:09.270929+04"
"We like to spend our free time together walking in Moscow parks.","present_continuous","present_simple",0,"3f589c7add648d1336e195f8fc25e2405557dfaab66989a23320d867","2020-10-21 16:08:21.94114+04"
"Last weekend we went to Sokolniki Park.","past_simple","past_simple",0,"ccf02bdba063524589a534f08572df07790ac61b247cd83abb925112","2020-10-21 16:08:29.413632+04"
"The weather wasn't warm but we had a great time.","past_continuous","other",0,"833766f9bd2dd677f7b429151cb0cd2ff4f8737c032996546bee3149","2020-10-21 16:16:25.887588+04"
"After that we drank tea in a cafe.","past_simple","past_simple",0,"5ee0a3ede07d0ff9c66eb707d95c71d416a1d02c7bcb22186da20ae4","2020-10-21 16:16:31.280693+04"
"This weekend we are going to the Puppet Theatre.","present_continuous","other",0,"4c527c69ae503331ed1ed11dabb1ffe780ffa9bf860a8bd23df24192","2020-10-21 16:16:36.24517+04"
"I think Moscow is a very interesting place.","to_be_present","other",0,"36d5c8990e629bbf28a5560fb344efd12036bf3cfbb4a529c6352070","2020-10-21 16:16:42.852617+04"
"Dear Friend, My name is David.","to_be_present","to_be_present",0,"3c6966cd4697c7f0a6418f1a8437becc33a3ef2c1f09f696299c7d80","2020-10-21 16:16:52.019856+04"
"I live with my mother, my father, my sister Mary and my grandparents.","present_continuous","present_simple",0,"9ddfa462a8ecb82737a42c2e5dfd7cfe81269ba7738a6337b7a803ac","2020-10-21 16:16:57.370096+04"
"I like to read books and play with my toys.","present_simple","present_simple",0,"3252dc37d48fd6c1dad69617a48e35d2a47da369e4f4022710eee842","2020-10-21 16:17:33.413956+04"
"My favourite sport is football.","to_be_present","to_be_present",0,"3c6f290e2b70992527f4350015c9480d75fb096d9a44de5327b92ffc","2020-10-21 16:17:44.010592+04"
"I hope to get a letter from you soon.","present_simple","present_simple",0,"5c521d84bb3c4c05b3934bbdb524a2fa49b712e7b96656432718443d","2020-10-21 16:17:56.069868+04"
"He read books and watched films about cars.","past_simple","other",0,"4a14584c3927cc9ace476fc7f595a52ceef20d1f2b360482c2c15806","2020-10-21 16:18:02.249668+04"
"So one day Alex told his parents, ""Please, please, please, could you help me?","past_simple","other",0,"10f075d0b9665e1268a32fe238ab215406b0509373460464b5c50d79","2020-10-21 16:18:04.648452+04"
"He went to his uncle's garage and looked at his car.","past_simple","past_simple",0,"dac20639bac0884f098915ea1cbf4e79c376bef559594c0dfdff33df","2020-10-21 16:25:49.129133+04"
"He wanted to have a car very much!","used_to","past_simple",0,"ab7a76f03453a39586758b12f06d3a593aee9cb7c1881ebc5e187e5d","2020-10-21 16:18:41.703771+04"
"I want to build a car!""","present_simple","other",0,"a10a69983c84e67f777913968fdcd0966adcb25c2c73e09e4027d5c6","2020-10-21 16:22:25.01541+04"
"""No,"" said Alex's mom, ""You can't build a car.","past_simple","other",0,"df8d22793f0d64dec630156327e966fd50a9da9f0c4fa5838c1afbf2","2020-10-21 16:22:27.260849+04"
"""No,"" said Alex's dad, ""You can't build a car.","past_simple","other",0,"3fbeaffa549016c0246411aadad29fe66f279f70e6067c56f1472844","2020-10-21 16:22:29.715319+04"
"He wanted a fast red sports car!","past_simple","past_simple",0,"942d6a089b692ebcd81283633327d1a9efd1f4e51c3ba5257d9aebf2","2020-10-21 16:22:32.734131+04"
"So Alex bought some books and started reading about how people build cars.","present_continuous","other",0,"88808b624b142afe15617b73cd75c2982d25ce822205a1f56b66e0e1","2020-10-21 16:25:02.547529+04"
"His uncle showed him how his car worked.","past_simple","past_simple",0,"8573ae148b8d57aa50414c81f6a8a62de44a005d4d155f416f05074c","2020-10-21 16:28:53.649481+04"
"Then Alex started building his own car!","past_simple","past_simple",0,"0d952f1320aa1287d112c9dc3fe30406519688b11d7e5e104f00236a","2020-10-21 16:32:30.984272+04"
"It was very interesting and he had a lot of fun.","past_continuous","other",0,"90e86111a9940c8545d13f8d88152cc9a210b6dce570e832b4486919","2020-10-21 16:32:35.140407+04"
"He wanted to tell his parents about it","past_simple","past_simple",0,"99430f8994241bc5255d9294d72d0072d3a66fb5bab17a07eae51097","2020-10-21 16:32:52.997912+04"
"They didn't want to talk about cars.","past_simple","past_simple",0,"ed69513f792abf18aaea368986e57f9e9ec763927e5f323c982b552a","2020-10-21 16:33:21.832847+04"
"After two months, Alex asked his parents to go to the garage with him.","past_simple","past_simple",0,"e495ae6fa9edfd692dca51107bc93961308e861cab187e429cd19931","2020-10-21 16:36:11.463158+04"
"In the garage Alex's parents saw a red car.","past_simple","past_simple",0,"7dfa4e134fe6f8fc5ce067487e61b9a99812ee9691da326b4ce529cf","2020-10-21 16:36:16.746588+04"
"It was a toy sports car!","to_be_past","to_be_past",0,"567cc856a5ab4f5ce4ea243979f921a70e310a0816d5d8f3940e8580","2020-10-21 16:36:20.017431+04"
"Alex could sit in it and drive it.","could","could",0,"13e740991eb798774ca209ff7774ec01b42f05124933e727507414f6","2020-10-21 16:36:22.374227+04"
"Alex's parents were very happy and surprised.","to_be_past","to_be_past",0,"01f69b5dbe82830143565ee845046aaf41370f9304f69c38b785765c","2020-10-21 16:36:29.435193+04"
"Alex's mom said: ""It's a beautiful car!""","present_simple","other",0,"6048aa5e9c965e3033dcc2b5fdb8db037639b384808607a580bc1e90","2020-10-21 16:36:33.093731+04"
"Alex's dad said: ""It's so big!""","present_simple","other",0,"4f58fa44db8d40ac2d46a75778f260e346b50c547b36870fcd45412d","2020-10-21 16:36:35.328527+04"
"Alex smiled and drove to the park.","past_simple","past_simple",0,"c84d221f917d27f1aaa93e4b251a289405965e8b00a0be921d0f1e43","2020-10-21 16:36:38.183248+04"
"Last August Becky visited Aunt Agatha.","past_simple","past_simple",0,"93d40fb4aa257738f688243904be00c17f4eb6cf15dbd92e4bc986c5","2020-10-21 16:37:55.144175+04"
"She lives in a house on the beach.","present_simple","present_simple",0,"a2ad1ee4fccb802aae7eb4f10d7cd10efb6a05519b91ecc5867b1013","2020-10-21 16:37:58.004182+04"
"It was a beautiful summer day.","to_be_past","to_be_past",0,"279e94be2ccfc806d9d9a61eb16e589f3712d6fc47e4c94074e42fa2","2020-10-21 16:40:57.645618+04"
"Becky built a very big sand castle that morning.","past_simple","past_simple",0,"7e329a063e18db1b431758c536450964fc11cd828006d286de2c166d","2020-10-21 16:42:02.821534+04"
"Aunt Agatha took pictures of the castle to send to Becky's parents.","past_simple","past_simple",0,"bb74d0df128e010dd52160736ca4ce4298454d7bd4e6adcfd42198c2","2020-10-21 16:42:10.910597+04"
"I like playing basketball and soccer.","present_continuous","present_simple",0,"fb518c0979d31b597e49c76ec2df630fb53792893d0136b5ac0b17be","2020-10-22 18:28:21.975909+04"
"I also play tennis, and I like swimming.","present_continuous","other",0,"432191474fe5024e9f215f158027c411852cd7d1575ca169ed4093d9","2020-10-22 22:07:01.335373+04"
"Later that morning, Becky and Aunt Agatha went swimming in the ocean.","present_continuous","past_simple",0,"933fbcb691cd19597e6162acbe1e2d34f5af7552e1eddd861df2f308","2020-10-22 18:22:49.175205+04"
"It was fun to jump with the waves.","to_be_past","to_be_past",0,"84a0909e67d7671ee6b8cef5370a3ff67329affecd2cded91e6cc34a","2020-10-22 18:22:58.975039+04"
"Then, they went to the house and ate sandwiches and strawberries for lunch.","past_simple","past_simple",0,"695e894cce59cb66889b9c3e9ae10f607bc548dd115957faa7b8aa3c","2020-10-22 18:23:07.335734+04"
"Becky wanted to play on the beach that afternoon.","past_simple","past_simple",0,"22fbaa18bb314d731b75fa45024c85906f04760c1d5a00d233342bb8","2020-10-22 18:23:08.927878+04"
"Aunt Agatha told her it was too hot to go outside without a hat on.","used_to","used_to",0,"1a1dad8271d2f65bbe5e8518367e84ba76d3f2c6a753f231d6be45c7","2020-10-22 18:23:11.198947+04"
"Becky didn't have a hat.","past_simple","past_simple",0,"371a41fb62d110cd8a8e8b43f58ad3e6136ad18eeb8b0a9ea5b792d3","2020-10-22 18:23:12.94047+04"
"Aunt Agatha told her not to worry, because Becky could wear one of hers.","used_to","other",0,"97c6b548fbb0c42a3dd70b0810509727e67857d883610c66c92a7ec2","2020-10-22 18:23:16.573225+04"
"Becky tried on four hats.","past_simple","past_simple",0,"19efdc3956c9de30a75251965e26822331b747f575fb82061e478f7d","2020-10-22 18:23:18.276499+04"
"The pink one was really pretty, but it was too big for Becky.","to_be_past","to_be_past",0,"ab6e57a28d233e561a965bd65c0bf61a78e1da7e25cb3100db019cac","2020-10-22 18:23:28.234253+04"
"She did not like the green hat at all.","past_simple","past_simple",0,"51fd4a5669eb66db0f6ddf050215f236f6d926538b86d1c92c44a097","2020-10-22 18:23:38.077137+04"
"The blue hat was nice, but it had a big flower on it.","to_be_past","other",0,"8d108396f37b166a78f48e4061d61615b762da590c1e84ec6143acaa","2020-10-22 18:23:42.103692+04"
"Becky did not like it.","past_simple","past_simple",0,"d63bb254cf682dc6649c39a0bddafeffa2511956078c6f5adab923b7","2020-10-22 18:23:44.254472+04"
"Then, Becky saw a big brown hat with a yellow ribbon on it.","past_simple","past_simple",0,"c6c36f73f37ea824c40df1044a0bce967506af4e80b13381884d1745","2020-10-22 18:23:47.416873+04"
"That hat was made of straw.","present_perfect","other",0,"ee4c61cd17caad031b6d447e124856b26a568161623936c165794840","2020-10-22 18:23:51.371832+04"
"It was a very good hat for the beach and Becky","past_continuous","to_be_past",0,"1146349aba25939ac96e70ee1dab25b0c8a91a53a8ffe4afcaf88735","2020-10-22 18:24:00.286516+04"
", my name is Rebecca and I am your new pen pal.","present_continuous","other",0,"60771a6e24f0b5ba20f7d2ef45a25fabbd6c52ab81e3c86639acb2a8","2020-10-22 18:24:04.904156+04"
"I'm ten years old, and I live in Barcelona, Spain.","to_be_present","other",0,"b46f81ca9c73567ba9f73e33c2f6863514075897cd5f5dd85059c857","2020-10-22 18:24:09.063788+04"
"I go to the 4th grade in Saint Michael Elementary School.","present_simple","present_simple",0,"8ffacf9bde4d8a059c53f7ddbc611fb027ce5bfee22db3dbf5afa693","2020-10-22 18:24:12.504568+04"
"On weekdays, I get up at 6 o'clock.","present_simple","present_simple",0,"6aefb464b71917e11fd0558731582884b50fa0e54ee6a85595b643e0","2020-10-22 18:27:40.435696+04"
"The school starts at 7:30 in the morning.","present_simple","present_simple",0,"0ac1f15b86aed60f211bf324209a9b43e0109e7597d3e7f5ba8b6952","2020-10-22 18:27:43.019268+04"
"I have my lunch at the school cafeteria and I usually leave around 3:30 in the afternoon.","present_perfect","other",0,"a216da463bfb4a9494a778f7a9ee185c3b7cd4cbe4e94ac2a3982724","2020-10-22 18:27:59.564574+04"
"I am good at math, I also like history and geography","present_simple","other",0,"605b1f1098c93544c1d9c20ebed15b27f76c8dca6e2c7b232917f0cc","2020-10-22 18:28:02.293439+04"
"but I my favorite subject is science.","present_continuous","other",0,"d9e434ddcd546b75a87613bcdf6c485924f64a573d3eea7aac2555aa","2020-10-22 18:28:04.799576+04"
"On the weekends, I go to the movie theater with my friends.","present_continuous","present_simple",0,"e62e410f39abb15ea9dbee8f4f53b0b88e06285a1a7e1b4ae923c823","2020-10-22 22:09:40.327213+04"
"I usually go to church with my parents on Sundays.","present_continuous","present_simple",0,"1f31c7f226f0d505716a9daae17198230d49582a61cb4c7154432cbc","2020-10-22 22:14:32.434972+04"
"Please write and tell me about you and your life.","future_simple","other",0,"2d62383f629a52100064858757924aa983fa751014fcac7b6a91c4d5","2020-10-22 22:14:37.841201+04"
"What do you like doing in your free time?Hi, my name is Tina.","present_continuous","trash",1,"41d1170970ab5979bac63bd810dd26668a411b8c1a7e9d98482abe1d","2020-10-22 22:15:16.233757+04"
"I am thirteen years old and today I want to talk about my best friend Selena.","present_continuous","other",0,"c6ae44e7e5f283ca63aa213b702357d66ef449f7793391545467bd43","2020-10-22 22:20:14.847627+04"
"She is my classmate and she is thirteen years old too.","to_be_present","to_be_present",0,"5f50485c062b1e1dd5bb1c36d54b3cbbd45a03486b194acf3bc90cbc","2020-10-22 22:20:30.670466+04"
"We attend a very big school near Scotland.","present_simple","present_simple",0,"354526c21ecee57849984bc9eff0f2341e202ac8e67b6d7dad8d7a83","2020-10-22 22:26:58.325781+04"
"We share the same desk and love the same school subjects.","present_simple","present_simple",0,"34f644a32a6d16e6c9b81a8a4da2d916306133d0a9211200bbddb1ef","2020-10-22 22:27:02.250623+04"
"Our favorite lessons are Arts and Physical Education.","present_continuous","to_be_present",0,"0dd7a818290fbbfd5b996847ee4e209f35b97055291a09aa178a0e4b","2020-10-22 22:27:07.34459+04"
"I am very good at tennis","to_be_present","to_be_present",0,"9d41ba4355b4c8fe9c801a95d869d9201360244b741cf45b9dd8e35d","2020-10-22 22:27:38.494427+04"
"and she is very good at volleyball.","to_be_present","to_be_present",0,"384c2ba6aa2b7ee09a4f1d02a362aee50c72f29e693760a684fd8958","2020-10-22 22:27:43.504395+04"
"She plays volleyball at our school team.","present_simple","present_simple",0,"9c13398eb9db3d14307c891e1bf77d2a658d73f2b94ee52fc8e1da72","2020-10-22 22:27:45.174605+04"
"We both have a busy life.","present_perfect","present_simple",0,"f6f168c6275975b5385836745d50598628c1e96fbf296c5aad77aab5","2020-10-22 22:27:55.994913+04"
"We always get up at a half past six and at seven o'clock her father takes us to school by car.","present_simple","present_simple",0,"4fe793aeed3c35f2054219f27d0a4ab5dc02118dc9039eadd9c47c26","2020-10-22 22:28:01.73897+04"
"They live next door to us, so after school we always do our homework, walk our dogs and play together.","present_simple","present_simple",0,"675bcab8ba1fc1cd988af8be7350d8d634c6f46fc533fa8c841f4f77","2020-10-22 22:28:05.834467+04"
"Our classes start at half past seven and finish at 4 p.m.","present_perfect","present_simple",0,"959283fc70c1ba181295e337eb523e4720ede083388a5155fd7f401e","2020-10-22 22:28:12.569087+04"
"Her mother is a nurse.","to_be_present","to_be_present",0,"ae65a7c92ca15bf5c2b3bb27bf77b29c0bcde5f3c8182369fee129f8","2020-10-22 22:28:15.031727+04"
"My mother is a nurse too and they work at the same hospital.","present_continuous","other",0,"6fffdd294ed9a62b694c1cb652e1baba03f23d47b906c091bba391bf","2020-10-22 22:28:24.976941+04"
"Our fathers are both engineers but they work at different companies.","present_continuous","other",0,"e86a3a93b8d2c2139fda3adc5abf88bc9dd38749fc3c9c0bd5422fba","2020-10-22 22:28:40.044176+04"
"On Mondays, Selena has violin class","present_simple","present_simple",0,"f99522c303881a79a8ff38edf454ef319109cd4d4428d3f48136d1c9","2020-10-22 22:28:49.176063+04"
"and I have piano class.","present_perfect","present_simple",0,"8037408640674c98390d04f36dee2d77202f21306e90db68426e9b0a","2020-10-22 22:29:11.97888+04"
"On Tuesdays and Thursdays she practices volleyball at the school's gym","present_simple","present_simple",0,"79a3f2641ca15ffe8f581cd62449c6ccd44df5291426955218a7699f","2020-10-22 22:29:26.968166+04"
"and I play tennis in our school court.","present_simple","present_simple",0,"fd84f90d05cb75425fde74a1e7a44a47be93c9045b5bc60bda37c3ec","2020-10-22 22:29:28.899811+04"
"Friday is my favorite day because Selena stays overnight with us.","present_simple","other",0,"629be7f4fd1e4dc04229e8795a4803cc1f4e8d94577a33058ed4fad3","2020-10-22 22:29:40.460371+04"
"On the weekends, we usually go to the movie theater or have a picnic if the weather is good.","present_continuous","present_simple",0,"6196da9d8a20267609e699f536caf5d8cef36e9dc49f0c0bfe6ce987","2020-10-22 22:30:00.761397+04"
