sent,type
"My grandmother, who would be considered archaic even in the 1800's, nearly had a heart attack seeing him this way.","['a1_be_have_do_in_the_past', 'a2_ing_non_finite_forms']"
"One from Savas Coskun and the other from Sabeena Din, who moved, respectively, from Turkey and Pakistan to Denmark.",['a1_past_simple_reg']
"But other treatments such as acupuncture and massage, and even just relaxation, clearly have some kind of benefit.",['a1_present_simple_reg_act']
Von Braun was on there showing how to go to Mars - and this was before Sputnik.,['a1_to_be_past_was_were']
It's the one that takes me around the world right now interacting with foreign militaries quite a bit.,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']"
Some abortion restrictions have already been toppled by Monday's ruling - no legislation required.,"['a2_present_perfect', 'a1_possesive_s_sing', 'a2_passive_present_simple']"
"London mayor Sadiq Khan halted some of the existing spending on the project, ahead of a review.",['a1_past_simple_reg']
She feels people have finally had enough of the current government's lack of transparency.,"['a1_present_simple_reg_act', 'a2_present_perfect']"
"But by the time I came back to get their food orders, one had left and the other was crying.","['a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a1_be_have_do_in_the_past', 'a2_past_continuous', 'a2_past_perfect_basic', 'a2_narrative_tenses']"
"Hair loss, worse health, the shit just started piling up.","['a1_past_simple_reg', 'a2_ing_non_finite_forms']"
"She took a long drink from the round bottle at the end, and shuddered.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"Now, there's another player on each side who's called the Keeper - I'm Keeper for Gryffindor.","['a1_there_is_am_are', 'a2_passive_present_simple', 'a1_to_be_present_is_am_are']"
"Caput Draconis, said Percy, and the portrait swung forward to reveal a round hole in the wall.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']"
"As he looked at Dudley in his new knickerbockers, Uncle Vernon said gruffly that it was the proudest moment of his life.","['a1_past_simple_reg', 'a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_to_be_past_was_were']"
"Maybe set Twitter check-ins for the morning, mid-day and evening.",['a2_imperatives']
Because good adventures are not the only ones that amount to something.,['a1_to_be_present_is_am_are']
Meditation is a practice at doing this and Buddhism is itself far more of a training regimen than a conventional religion.,"['a1_to_be_present_is_am_are', 'a2_ing_non_finite_forms']"
"So, you know, even sex is on a stopwatch these days.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"And this particular manufacturer said, We're not interested in that.","['a2_say_reported_verb', 'a1_to_be_present_is_am_are', 'a2_adjectives_ed']"
They eat better; they make love better; they exercise better; they work better; they live better.,"['a1_present_simple_reg_act', 'a1_comparative_exept']"
"That's essentially a gender; that's essentially the resource of the planet, which is women.","['a1_to_be_present_is_am_are', 'a2_relative_clause_who_which_that']"
"He has squandered his pick and his convention, and several battleground states along with them.",['a2_present_perfect']
It's assumed it is related to multiple concussions that happened years before.,"['a2_passive_present_simple', 'a1_past_simple_reg']"
"The Eagles' defense scored three touchdowns in a win and knocked nine Redskins out of the game, including two quarterbacks.","['a1_possessive_s_plurar', 'a1_past_simple_reg']"
You listen as your schoolmates grow ever more frustrated about the other student.,"['a1_present_simple_reg_act', 'a2_zero_non_finite_forms', 'a2_adjectives_ed', 'a1_comparative_long']"
"Context, the guy that got knocked out was drunk as fuck and starting fights with people.","['a1_past_simple_irreg', 'a1_to_be_past_was_were', 'a2_past_continuous']"
I've always had the impression that pop music isn't typically what Berklee students are interested in producing.,"['a2_present_perfect', 'a1_to_be_present_is_am_are', 'a2_adjectives_ed']"
"Yet there were a million other things he did reliably, faithfully, and lovingly to make her feel cared for and valued.","['a1_be_have_do_in_the_past', 'a2_to_non_finite_forms', 'a2_zero_non_finite_forms', 'a1_past_simple_irreg', 'a1_there_was_were']"
He was usually the one who held people's arms behind their backs while Dudley hit them.,"['a1_to_be_past_was_were', 'a1_possessive_s_plurar', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that']"
"Sorry, he said, but have you seen a toad at all?","['a2_say_reported_verb', 'a2_present_perfect']"
"I'm sorry about your Jesus, I whisper and wave my hands wildly like a rejected Rockette doing a vaudevillian routine.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"It was war-ter not waw-dah, and it was going and not goin'.","['a1_to_be_past_was_were', 'a2_past_continuous']"
That win-streak ended on January 6 when rioters stormed the capital.,['a1_past_simple_reg']
"I mean, I really can't believe how lucky I am here, standing in front of you, speaking.","['a1_can', 'a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
The families - the victims of the families - were going to this pier that was incredibly dehumanizing.,"['a2_past_continuous', 'a1_to_be_past_was_were']"
"But I just found out the world ain't going to last that long, this guy was telling us the other day.","['a1_past_simple_irreg', 'a2_past_continuous']"
"We all know of them, but nevertheless - the Arabs say, The dogs may bark, but the caravan moves on.","['a2_say_reported_verb', 'a1_present_simple_3d_pers']"
"Speaking on the campaign trail, the Republican nominee revived jibes that Clinton is a corrupt and habitual liar.","['a1_past_simple_reg', 'a1_to_be_present_is_am_are']"
"And as we know, Donald Trump has not been having been the best luck in federal court recently.","['a1_present_simple_reg_act', 'a2_present_perfect']"
The visual connection with the Kennedys draws the eye to the obvious difference: their skin colour.,['a1_present_simple_3d_pers']
"I'm also from the UK - where Indians are Asian, Pakistanis are Asian, Bangladeshis are Asian and Koreans are Chinese.",['a1_to_be_present_is_am_are']
"I feel it in the water, I feel it in the earth.",['a1_present_simple_reg_act']
The increase is still greater than the increase in cost of living between these countries.,"['a1_to_be_present_is_am_are', 'a1_comparative_short']"
It seemed to be coming from a large metal tub in the sink.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"It does not do to dwell on dreams and forget to live, remember that.","['a1_present_simple_3d_pers', 'a2_to_non_finite_forms', 'a1_present_simple_reg_act']"
A huge banner showing the Slytherin serpent covered the wall behind the High Table.,['a1_past_simple_reg']
"For someone else, it's not something they even thing about.","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
"All they required from me was my ID - no work contract, no bank statement, nothing.","['a1_past_simple_reg', 'a1_to_be_past_was_were']"
"He admired the anticolonial ideologies of early revolutionary thinkers like Ali Shariati, and their solidarity with oppressed peoples everywhere.",['a1_past_simple_reg']
"It may be nothing at all, but we should do the other tests to be certain.","['a2_should', 'a2_to_non_finite_forms']"
So they're building very large blast furnaces to try to deal with the demand for steel in China.,"['a1_present_continuous_act_rn', 'a2_to_non_finite_forms']"
"It's one of many, many characteristics that women have that they will bring into the job market.","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act', 'a1_future_simple']"
"And like most committees, they were going to build something pretty safe.",['a2_was_were_going_to']
Some of the fondest memories I have of her are from this time.,"['a1_superlative_short', 'a1_present_simple_reg_act']"
"I mean, we just lost like 30 minutes ago, so I haven't even thought about it, Durant said.","['a1_present_simple_reg_act', 'a1_past_simple_irreg', 'a2_present_perfect', 'a2_say_reported_verb', 'a1_past_simple_reg']"
"The British sculler Alan Campbell, who looked particularly impressive in winning his heat, claimed the conditions reminded him of coastal rowing.","['a2_relative_clause_who_which_that', 'a1_past_simple_reg']"
This one stinks already and it's only the start of August.,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']"
You know damn well that we don't get the opportunity to be innovative.,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"We weren't looking for signs of struggling with our third, I guess we had our guard down.","['a2_past_continuous', 'a2_ing_non_finite_forms', 'a1_be_have_do_in_the_past', 'a1_past_simple_irreg']"
"My sister is a prison nurse, I texted her this thread and asked what's her story.","['a1_to_be_present_is_am_are', 'a1_past_simple_reg', 'a2_ask_reported_verb']"
"Well, get a move on, I want you to look after the bacon.","['a2_imperatives', 'a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"But on the edge of town, drills were driven out of his mind by something else.",['a2_passive_past_simple']
"Hermione was stomping up the stairs, looking disapprovingly at the package in Harry's hand.","['a2_past_continuous', 'a1_possesive_s_sing']"
We're offering a free course to all of our new subscribers as a thank you for your continued support.,['a1_present_continuous_act_rn']
Retweet as a quote is better because a mere retweet is a simple-non-involved push of a button.,['a1_to_be_present_is_am_are']
Bob and I catch up in the way that friends do when they're with someone that is truly one of their tribe.,"['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"Even my brain rebelled, surreptitiously contriving justification for my lack of motivation.",['a1_past_simple_reg']
"It seems to me with this, that it was the opposite of that.","['a1_present_simple_3d_pers', 'a1_to_be_past_was_were']"
"And the other one was the chance, a priori, that the person had the disease or not.","['a1_to_be_past_was_were', 'a1_be_have_do_in_the_past', 'a1_past_simple_irreg']"
"The same drives that we see towards ubiquity, towards diversity, towards socialization, towards complexity.","['a1_present_simple_3d_pers', 'a1_present_simple_reg_act']"
"We've got two million total articles across many, many different languages.",['a1_have_has_got']
"He was better than me, and we've always kept playing together.","['a1_to_be_past_was_were', 'a2_present_perfect', 'a2_ing_non_finite_forms']"
"Ian had met his first wife, Jean Forsyth, while they were both students at Aberdeen.","['a2_past_perfect_basic', 'a1_to_be_past_was_were']"
"Motherland aligns our notions of idealised parenthood with wealth, revealing the heinous classism innate to it.",['a1_present_simple_3d_pers']
Losing control of the module is more of an embarrassment to the Chinese space agency than a blow to their space programme.,['a1_to_be_present_is_am_are']
I have no idea how long I'm going to be here.,"['a1_present_simple_reg_act', 'a2_is_am_are_going_to']"
"That was 4 years ago, and he's shown up everyday since.","['a1_to_be_past_was_were', 'a2_present_perfect']"
They cleaned the left ear again too but the wax was much more broken up due to the drops.,"['a1_past_simple_reg', 'a2_passive_past_simple']"
My wife had recently lost a good bit of weight and was feeling rather proud of herself.,"['a2_past_perfect_basic', 'a2_past_continuous']"
"Nothing - just black - there's no way of climbing down, we'll just have to drop.","['a1_there_is_am_are', 'a1_future_simple', 'a2_will_have_to']"
"As they climbed carefully around her, Mrs. Norris turned her lamplike eyes on them, but didn't do anything.","['a1_past_simple_reg', 'a1_be_have_do_in_the_past', 'a1_past_simple_irreg']"
But I suppose they snapped it in half when you got expelled?,"['a1_present_simple_reg_act', 'a1_past_simple_reg', 'a2_relative_clause_others']"
Time blocking can be wise if you use it appropriately and if you ease into it.,"['a1_can', 'a2_passive_modal_verbs', 'a2_zero_conditional_m_if', 'a1_present_simple_reg_act']"
"That she had turned a corner, moved forward just a little bit.",['a2_past_perfect_basic']
"Everywhere you look, children's environment in Denmark is given a lot of thought.","['a1_present_simple_reg_act', 'a1_possesive_s_sing', 'a2_passive_present_simple']"
"I choke on my coffee, not aware Garland has hookers and equally surprised to hear Archie is aware of such things.","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers', 'a2_adjectives_ed', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
But I was looking at this intense emotion and intense feeling that had come out of people just seeing these photographs.,"['a2_past_continuous', 'a2_past_perfect_basic', 'a2_ing_non_finite_forms']"
"Originally, you had the most complex societies, the hunter-gatherer village.",['a1_past_simple_reg']
"After these genomes are synthesized, the first step is just transplanting them into a cell without a genome.",['a1_to_be_present_is_am_are']
"And with that, I think I should give up the stage, so, thank you so much.","['a2_should', 'a1_present_simple_reg_act', 'a2_zero_non_finite_forms']"
The overwhelming majority of the earlier contact group wanted to close domestic ivory markets.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"The chances of a specific individual being struck by falling debris is trillions to one, making death by lightning far more likely.","['a2_ing_non_finite_forms', 'a1_to_be_present_is_am_are']"
We are going to look back at this time and actually think it was a calm period.,"['a2_is_am_are_going_to', 'a1_to_be_past_was_were', 'a1_present_simple_reg_act']"
"And some restrictions on trade, but no sweeping reversal of the consensus that has existed since the second world war.",['a2_present_perfect']
Actually this is an obvious question but it's not what you might think.,['a1_to_be_present_is_am_are']
"So she is thinking about being quasi-forcibly penetrated with this man's impossibly generous and perfectly complected cock, your mom.","['a1_present_continuous_act_rn', 'a2_ing_non_finite_forms']"
As promised What's the recipe for the White House's beer?,"['a1_to_be_present_is_am_are', 'a1_possesive_s_sing', 'a1_special_questions']"
"I'm going to see what section he was in, said Ron, who'd had enough of working.","['a2_is_am_are_going_to', 'a1_to_be_past_was_were', 'a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_past_perfect_basic']"
At the top of the hall was another long table where the teachers were sitting.,"['a1_to_be_past_was_were', 'a2_past_continuous']"
"The envelope was thick and heavy, made of yellowish parchment, and the address was written in emerald- green ink.","['a1_to_be_past_was_were', 'a2_passive_past_simple']"
"By time blocking your day, you can actually give yourself time during the day to indulge in those distractions.",['a1_can']
"The final cycles of sleep, especially if we get a full night of sleep, are dominated by REM sleep.","['a2_passive_present_simple', 'a1_present_simple_reg_act']"
That is why it's hard to spend energy when it's not a question of survival.,"['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"But it would be the day that the world comes together through film, the power of film.",['a1_present_simple_reg_act']
"And we have really nice T-shirts that say, you know, I heart my genitalium.",['a1_present_simple_reg_act']
"So, with shooting at you, what are the death rates?","['a1_special_questions', 'a1_to_be_present_is_am_are']"
"Put that another way - of all of them who test positive - so here they are,","['a2_relative_clause_others', 'a1_to_be_present_is_am_are']"
"This fear prevents sausages and buns from getting intimate, despite their urges to conjoin.","['a1_present_simple_3d_pers', 'a2_ing_non_finite_forms', 'a2_to_non_finite_forms']"
"Indeed, No Balls has little affinity with great political art, past or present.",['a1_present_simple_3d_pers']
How the spacecraft tumbles through the atmosphere has an influence on how it breaks up.,['a1_present_simple_3d_pers']
"Every April 1st, as a joke, I tell her the same thing.",['a1_present_simple_reg_act']
"Few employers will hire a woman who's been on welfare for 12 years, with a heart condition.","['a1_future_simple', 'a2_present_perfect']"
"Old, single men who dined with us every single day, day in and day out.","['a2_relative_clause_who_which_that', 'a1_past_simple_reg']"
They're saying all down the train that Harry Potter's in this compartment.,"['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a1_present_simple_reg_act']"
"The Bludgers rocket around, trying to knock players off their brooms.",['a1_present_simple_reg_act']
Harry and the Weasleys spent a happy afternoon having a furious snowball fight on the grounds.,['a1_past_simple_irreg']
They can meet you there and take him away while it's still dark.,"['a1_can', 'a1_to_be_present_is_am_are']"
A heart rate of 60 bpm does not mean there is a beat exactly once every second.,"['a1_present_simple_3d_pers', 'a1_there_is_am_are']"
"Suddenly, the cube shot out a strong light that blinded me and knocked me on my ass.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
My worrying was as much about my reputation as it was about the project.,"['a1_to_be_past_was_were', '_a2_much_many_a_lot']"
Perhaps the deadliest enemy to our path to greatness can be our obsessive desire for the destination itself.,"['a1_superlative_short', 'a1_can']"
And I always felt that he should come to Southern California and do a building.,"['a1_past_simple_irreg', 'a2_should', 'a2_zero_non_finite_forms']"
"Rosalind Franklin was leaving in about two months, and after she left he would start building models.","['a2_past_continuous', 'a1_past_simple_irreg', 'a2_narrative_tenses']"
The last thing we did is we became what I call reverse tithers.,"['a1_be_have_do_in_the_past', 'a1_past_simple_irreg', 'a1_present_simple_reg_act']"
"On this side, you've got a number - the average number of tosses until head-tail-head.",['a1_have_has_got']
"But having three family members involved in three different political parties, he's always been very interested in Icelandic politics.","['a2_ing_non_finite_forms', 'a2_present_perfect', 'a2_adjectives_ed']"
These threats are the latest in a pile of identified calamities to befall national parks and monuments due to climate change.,"['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"Some of the laws have been on the books for many years, meaning the only abortion clinics left are in compliance.","['a2_present_perfect', '_a2_much_many_a_lot', 'a1_to_be_present_is_am_are']"
I view this as a public health crisis and one that we should act on.,"['a1_present_simple_reg_act', 'a2_should', 'a2_zero_non_finite_forms']"
It was all I could do to not stop and laugh out loud.,"['a1_to_be_past_was_were', 'a2_could']"
"You're just bluffing, she says, but I can hear she's uncertain.","['a1_present_continuous_act_rn', 'a1_present_simple_3d_pers', 'a2_say_reported_verb', 'a1_can', 'a1_to_be_present_is_am_are']"
"They are all so noble, each with its own special characteristics.",['a1_to_be_present_is_am_are']
Could Snape possibly know they'd found out about the Sorcerer's Stone?,"['a2_could', 'a2_past_perfect_basic', 'a1_possesive_s_sing']"
"Yes, don't stop now, said Ron, it's doing us so much good.","['a2_say_reported_verb', 'a1_past_simple_reg', 'a2_imperatives', 'a1_present_continuous_act_rn']"
"Harry suddenly realized that the tape measure, which was measuring between his nostrils, was doing this on its own.","['a1_past_simple_reg', 'a2_relative_clause_who_which_that', 'a2_past_continuous']"
"The stands erupted; it had to be a record, no one could ever remember the Snitch being caught so quickly.","['a2_had_to', 'a2_could', 'a2_ing_non_finite_forms', 'a1_past_simple_reg']"
"I glance back and Evelyn winks again - once, then twice.","['a1_present_simple_reg_act', 'a1_present_simple_3d_pers']"
The ISRO chairperson stood at a podium in front of a room full of reporters.,['a1_past_simple_irreg']
"And my contention is, all kids have tremendous talents, and we squander them, pretty ruthlessly.","['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
"But you will never, ever say to someone who asks you what you want that I want a milky, weak coffee.","['a1_future_simple', 'a2_relative_clause_who_which_that', 'a1_present_simple_3d_pers', 'a1_present_simple_reg_act']"
"So they just have these bench seats, and they strap the car seat and the seatbelt onto it.",['a1_present_simple_reg_act']
This pro-aging trance is what stops us from agitating about these things.,"['a1_to_be_present_is_am_are', 'a1_present_simple_3d_pers']"
"But at a recent press conference, the Chinese space agency admitted it had lost contact with the station.","['a1_past_simple_reg', 'a2_past_perfect_basic']"
"After her death, my grandmother's finances, assets and properties were entrusted to my mother.","['a1_possesive_s_sing', 'a2_passive_past_simple']"
"Donald Trump, a man who is happy to admit he doesn't read, may become our .","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a1_present_simple_reg_act']"
I did not know that men cannot always fully control the stream when they pee.,"['a1_past_simple_irreg', 'a1_can', 'a1_present_simple_reg_act']"
I don't need to continue to hear beeps that the timer is done.,"['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a2_passive_present_perf']"
I ended up asking my ex about an hour after she settled into her new bed in the hospital.,['a1_past_simple_reg']
"After many months, while searching the ocean below, he found a sunken pillar.",['a1_past_simple_irreg']
"But if we get caught, you two will be expelled, too.","['a2_first_conditional_if_m', 'a2_passive_will']"
"Every year, Harry was left behind with Mrs. Figg, a mad old lady who lived two streets away.","['a1_to_be_past_was_were', 'a2_relative_clause_who_which_that', 'a1_past_simple_reg']"
"Then he ran, before Dudley could work out what he'd said.","['a1_past_simple_irreg', 'a2_could', 'a2_past_perfect_basic', 'a2_narrative_tenses']"
"He'd be able to read as long as he liked, as long as it took to find out who Flamel was.","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_relative_clause_who_which_that', 'a1_to_be_past_was_were']"
A simple way to find the balance is to try to sublimate envy into inspiration.,"['a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
What set me out on this journey was the fear of the repeating circle of my everyday life.,"['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"We have examples of perfect shoved into our faces when in our journey, we are mediocre at best.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
I'll just keep an eye on her while she and Magda play hopscotch.,"['a1_future_simple', 'a1_present_simple_reg_act']"
"But it could've been anywhere in the city, because more than half the city of Nairobi lives like this.","['a2_could', 'a1_comparative_exept', 'a1_present_simple_3d_pers']"
"If it happens, how bad do you think it will be?","['a1_present_simple_reg_act', 'a1_special_questions', 'a1_future_simple']"
"And it was defended, believe it or not, by the librarians.",['a2_passive_past_simple']
"If that's what you're looking for in this election, then you're in luck.","['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn', 'a2_zero_conditional_if_m']"
"It's hard to predict exactly what will happen but some systems have been pushed over the threshold, certainly, said Schuurman.","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms', 'a1_future_simple', 'a2_passive_present_perf', 'a2_say_reported_verb', 'a1_past_simple_irreg']"
I was also turned off by the school's decision to grant the slaves' descendants legacy access without any guaranteed financial support.,"['a2_passive_past_simple', 'a1_possesive_s_sing', 'a2_to_non_finite_forms', 'a1_possessive_s_plurar']"
I remember there was something about not being allowed to use the letter 'E'.,"['a1_present_simple_reg_act', 'a1_there_was_were', 'a2_to_non_finite_forms', 'a2_ing_non_finite_forms']"
Could you not take the tow company to small claims court to get your towing fees back?,"['a2_could', 'a2_to_non_finite_forms']"
"In their heads they're being sneaky, but thousands of people are following along at home.",['a1_present_continuous_act_rn']
Plan of the century here folks: Hit him until he goes down.,"['a2_imperatives', 'a1_present_simple_reg_act']"
How many people wander around with dragon eggs if it's against wizard law?,"['a1_special_questions', 'a1_present_simple_reg_act', 'a2_zero_conditional_m_if', 'a1_to_be_present_is_am_are']"
"I want to go to the feast, he told Madam Pomfrey as she straightened his many candy boxes.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a1_past_simple_irreg', 'a1_past_simple_reg']"
Do I love anything as much as those children loved playing with that puppy on the side of the highway?I pass Indianapolis.,"['a1_present_simple_reg_act', 'a2_ing_non_finite_forms', '_a2_much_many_a_lot']"
"It started off jubilant but, at some point a few years in, I found myself struggling to maintain my joy.","['a1_past_simple_reg', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']"
"In the cold winter months, the mountain snow may travel to the seaside towns as it had recently.","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past']"
He was lucky to still be able to use mobile data to read the news.,"['a1_to_be_past_was_were', 'a2_to_non_finite_forms']"
"Give me a design challenge, sustainability speed bump, that's keeping you from being sustainable.","['a2_imperatives', 'a1_present_continuous_act_rn', 'a2_ing_non_finite_forms']"
"In 2004, there were only two flights: two Russian Soyuz flights to the international manned station.",['a1_there_was_were']
"Wilkins and this collaborator, or possible collaborator, Rosalind Franklin, came up and sort of laughed at our model.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"Not that he didn't want to talk, that was just his style.","['a1_past_simple_reg', 'a1_to_be_past_was_were']"
The planners should sit down and realise they're not doing this for themselves they're doing it for the nation.,"['a2_should', 'a1_present_continuous_act_rn']"
When he got sick we didn't talk about it any more.,"['a1_past_simple_irreg', 'a1_past_simple_reg']"
They offer financing at rates that would make a loan shark uneasy.,['a1_present_simple_reg_act']
"I see no real practical use for it, but it's fuckin genius.","['a1_present_simple_reg_act', 'a1_to_be_present_is_am_are']"
"She would text me to tell me she was going out with ex boyfriends for drinks, but not to worry about it.","['a2_to_non_finite_forms', 'a2_past_continuous']"
"You try to pretend like you didn't feel it, but you still turn the faucet up to stay warm.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms', 'a1_past_simple_irreg']"
"Vault seven hundred and thirteen now, please, and can we go more slowly?","['a1_can', 'a1_comparative_exept']"
"Keep your brooms steady, rise a few feet, and then come straight back down by leaning forward slightly.",['a2_imperatives']
"Harry gripped the edges of the stool and thought, Not Slytherin, not Slytherin.",['a1_past_simple_reg']
"He found a pair under his bed and, after pulling a spider off one of them, put them on.",['a1_past_simple_irreg']
"No, my phone died a little while ago , he replied.","['a1_past_simple_irreg', 'a1_past_simple_reg']"
"It was always the case that migration brought the risk of disease, war, and death.","['a1_to_be_past_was_were', 'a1_past_simple_irreg']"
Moving to a new country is something you should at least once in your lifetime.,"['a2_ing_non_finite_forms', 'a1_to_be_present_is_am_are', 'a2_should']"
"It was perhaps eight feet tall, 40 feet long, and 10 feet wide.",['a1_to_be_past_was_were']
"They have a sense of humor, and these are the kind of things which traditionally have been thought of as human prerogatives.","['a1_present_simple_reg_act', 'a1_there_is_am_are', 'a2_relative_clause_who_which_that', 'a2_passive_present_perf']"
"We had some theories related to cash flow, and lack of access to capital markets, and things like that.","['a1_past_simple_irreg', 'a1_be_have_do_in_the_past', 'a2_to_non_finite_forms']"
"The whole thing is so tasty, you may just want seconds.","['a1_to_be_present_is_am_are', 'a2_zero_non_finite_forms']"
"And given Bill Clinton's record, that implies a more centrist approach and an ability to strike big deals with congressional Republicans.","['a1_possesive_s_sing', 'a1_comparative_long', 'a1_present_simple_3d_pers']"
"I still haven't had an appointment, which means I haven't had any medical intervention in three years.","['a2_present_perfect', 'a2_relative_clause_who_which_that', 'a1_present_simple_3d_pers']"
"And yes, we kept on asking questions until he was finished the first banana just to see what he would do next.","['a1_past_simple_irreg', 'a2_passive_past_simple', 'a2_to_non_finite_forms']"
I mentioned how I was quarterback in High School and saw his eyes light up.,"['a1_past_simple_reg', 'a1_to_be_past_was_were', 'a1_past_simple_irreg']"
"Imagine putting three kids in a second-floor room, windows nailed shut, with the outside temperature 100 degrees Fahrenheit.","['a2_ing_non_finite_forms', 'a2_imperatives']"
Ten years on she murders him for leaving the toilet seat up.,"['a2_ing_non_finite_forms', 'a1_present_simple_3d_pers']"
Harry and Ron were followed into their boat by Neville and Hermione.,['a2_passive_past_simple']
Hermione didn't turn up for the next class and wasn't seen all afternoon.,"['a1_past_simple_reg', 'a2_passive_past_simple']"
"Thanks, said Harry, I'll need something to look forward to.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_future_simple', 'a2_to_non_finite_forms']"
It's responsible for pumping blood around our body and supplying it with oxygen and other important nutrients.,"['a1_to_be_present_is_am_are', 'a2_ing_non_finite_forms']"
"It's just fermented, and a little fermentation is good for your stomach.","['a2_passive_present_simple', 'a1_to_be_present_is_am_are']"
You've got countries that build their food around a certain flavor or taste.,"['a1_have_has_got', 'a2_relative_clause_who_which_that', 'a1_present_simple_reg_act']"
"So, that's sort of to put it in perspective here.","['a1_to_be_present_is_am_are', 'a2_to_non_finite_forms']"
"In that one, there were 400 people that worked on the floor.","['a1_to_be_past_was_were', 'a1_past_simple_reg']"
"These people are reaching thousands, if not millions, of readers, and that's incredibly important.","['a1_present_continuous_act_rn', 'a1_to_be_present_is_am_are']"
"In fact, Solzhenitsyn once said, To have a great writer is to have another government.","['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_to_non_finite_forms', 'a1_to_be_present_is_am_are']"
"The Australian Kim Brennan, a competitor in single sculls, was a particularly vociferous critic, insisting the course was not rowable .",['a1_to_be_past_was_were']
The FBI has a solemn obligation to remain neutral in political matters.,"['a1_present_simple_3d_pers', 'a2_to_non_finite_forms']"
"And the next day, as it turned out, I was given no choice.","['a2_passive_past_simple', 'a1_past_simple_reg']"
"I take time to veg out, daydream, and cuddle my wife and kid.","['a1_present_simple_reg_act', 'a2_to_non_finite_forms']"
"To add to this, people on TV or in movies barely glance at the road while they have a conversation and drive.","['a2_to_non_finite_forms', 'a1_present_simple_reg_act']"
"Hermione, however, stood alone by the door, waiting for them.","['a1_past_simple_irreg', 'a2_ing_non_finite_forms']"
"They landed quickly, and Harry ran to the door, the key struggling in his hand.","['a1_past_simple_reg', 'a1_past_simple_irreg']"
"Hermione, however, had more on her mind than the Sorcerer's Stone.","['a1_past_simple_irreg', 'a1_possesive_s_sing', 'a1_comparative_exept']"
She turned to look him squarely in the eyes for an answer.,"['a1_past_simple_reg', 'a2_to_non_finite_forms']"
"Sluggish, almost imperceptibly heavier in some way, like he was holding a pair of dumbbells.","['a1_present_continuous_act_rn', 'a1_comparative_short']"
"Wingspan became one of the 20th best-ranked games on BoardGameGeek's list of 18,000 games.",['a1_past_simple_irreg']
And she said things that really shocked me about her vagina - that it was dried-up and finished and dead -,"['a2_say_reported_verb', 'a1_past_simple_irreg', 'a1_past_simple_reg', 'a2_passive_past_simple']"
It's almost as if we're getting back to this starting point.,"['a1_to_be_present_is_am_are', 'a1_present_continuous_act_rn']"
"That's why there's lots and lots of kinds of hot sauces, and not so many kinds of mustard.","['a1_to_be_present_is_am_are', 'a1_there_is_am_are', '_a2_much_many_a_lot']"
He is the only model for black community; I don't care Jesse Jackson.,"['a1_to_be_present_is_am_are', 'a1_present_simple_reg_act']"
They do things like make big shots and do some of those things.,['a1_present_simple_reg_act']
Trump said he would continue to pursue his strong interest in philanthropy in other ways.,"['a2_say_reported_verb', 'a1_past_simple_irreg', 'a2_to_non_finite_forms']"
"Parker responded to the development on his Facebook page, saying he was devastated .","['a1_past_simple_reg', 'a2_passive_past_simple']"
